City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
321,Karpogory,RU,64.0019,44.4451,6.04,97,69,5.53,broken clouds
322,Belmonte,BR,-15.8631,-38.8828,74.43,88,8,2.55,clear sky
323,Wanning,CN,18.8003,110.3967,66.79,72,93,14.5,overcast clouds
324,Ashtabula,US,41.7001,-80.7665,39.85,93,100,18.41,mist
325,Luderitz,NA,-26.6481,15.1594,66.15,85,87,2.68,overcast clouds
326,Soyo,AO,-6.1349,12.3689,78.66,86,98,5.5,light rain
327,Goderich,CA,43.7501,-81.7165,38.91,93,100,13.8,overcast clouds
328,Geraldton,AU,-28.7667,114.6,95.41,26,0,23.02,clear sky
329,Polunochnoye,RU,60.8697,60.4153,14.97,87,100,4.7,overcast clouds
330,Waddan,LY,29.1614,16.139,50.34,35,0,7.34,clear sky
331,Carballo,ES,43.213,-8.691,42.51,86,99,11.34,overcast clouds
332,Marawi,PH,7.9986,124.2928,76.3,85,96,4.79,overcast clouds
333,Aasiaat,GL,68.7098,-52.8699,-22.65,90,80,10.74,broken clouds
334,Yuzhne,UA,46.6221,31.1013,47.77,85,99,27.56,overcast clouds
335,Tawau,MY,4.2498,117.8871,87.93,70,100,7.0,overcast clouds
336,Alyangula,AU,-13.8483,136.4192,85.77,70,100,10.71,light rain
337,Lisakovsk,KZ,52.5369,62.4936,0.03,71,1,5.53,clear sky
338,Luis Correia,BR,-2.8792,-41.6669,76.44,84,99,11.41,overcast clouds
339,Rio Gallegos,AR,-51.6226,-69.2181,57.25,62,0,5.75,clear sky
340,Esil,KZ,51.9556,66.4042,3.25,69,13,4.68,few clouds
341,Ahipara,NZ,-35.1667,173.1667,67.77,77,14,8.63,few clouds
